id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,forecast_gain,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc
0,1024,"[54, 108]",1,[0.1],"[77, 68, 67, 65, 64, 54, 48, 41, 39, 36, 30, 20, 20, 8, 20, 20, 30, 36, 39, 41, 48, 54, 64, 65, 67, 68, 77]",hourglass,26,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.09157514249086197,0.001,,1024,True,kaiming_uniform,step,"{'step_size': 5, 'gamma': 0.9}",0,[661.4830932617188],[0.2962962962962963],[1.5443352591961277e+21],[0.21323529411764705],[],[],0.0,0.0,0.0,False,0.2962962962962963,661.4830932617188,0.21323529411764705,1.5443352591961277e+21,,,
1,32,"[54, 108]",1,[0.1],"[6, 12, 19, 21, 26, 26, 30, 31, 32, 40, 71, 85, 86, 88, 90, 90, 96, 98]",inv_pyramid,18,<class 'torch.nn.modules.activation.Tanh'>,0.1,<class 'torch.optim.adam.Adam'>,0.09526327057298835,1e-06,,32,False,kaiming_normal,none,{},13,[1.8744899520167597],[0.16666666666666666],[4.0489162557265335],[0.19117647058823528],[],[],0.0,0.0,0.0,False,0.16666666666666666,1.8744899520167597,0.19117647058823528,4.0489162557265335,,,
3,256,"[54, 108]",1,[0.1],"[3, 6, 6, 25, 27, 31, 35, 48, 52, 53, 75, 85, 89, 93, 96]",inv_pyramid,15,<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.adam.Adam'>,0.0012551370533794928,0.0,,256,False,kaiming_normal,step,"{'step_size': 30, 'gamma': 0.9}",39,[1.4564536809921265],[0.2037037037037037],[1.411213994026184],[0.21323529411764705],[],[],0.0,0.0,0.0,False,0.2037037037037037,1.4564536809921265,0.21323529411764705,1.411213994026184,,,
4,64,"[54, 108]",1,[0.1],"[95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95]",constant,19,<class 'torch.nn.modules.activation.ELU'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.0016617414948059091,1e-06,,64,False,xavier_normal,cosine,{'T_max': 50},52,[1.4550285339355469],[0.2777777777777778],[1.5116267484777115],[0.20588235294117646],[],[],0.0,0.0,0.0,False,0.2777777777777778,1.4550285339355469,0.20588235294117646,1.5116267484777115,,,
5,512,"[54, 108]",1,[0.1],"[8, 12, 17, 20, 23, 28, 31, 31, 35, 36, 39, 46, 58, 59, 59, 61, 62, 63, 68, 70, 70, 73, 74, 82, 84, 86, 91, 97]",inv_pyramid,28,<class 'torch.nn.modules.activation.GELU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.011759983515665016,1e-05,0.95,512,True,xavier_normal,none,{},65,[1.3898653984069824],[0.24074074074074073],[1.3867546319961548],[0.22058823529411764],[],[],0.0,0.0,0.0,False,0.24074074074074073,1.3898653984069824,0.22058823529411764,1.3867546319961548,,,
6,1024,"[54, 108]",1,[0.1],"[41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41]",constant,14,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.016990095011907635,0.0,,1024,True,kaiming_normal,exponential,{'gamma': 0.99},78,[4419.33984375],[0.3148148148148148],[2438.639404296875],[0.21323529411764705],[],[],0.0,0.0,0.0,False,0.3148148148148148,4419.33984375,0.21323529411764705,2438.639404296875,,,
8,32,"[54, 108]",1,[0.1],"[96, 53, 32]",pyramid,3,<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.sgd.SGD'>,0.026310448089568717,0.0,0.9,32,True,xavier_uniform,step,"{'step_size': 20, 'gamma': 0.5}",104,[1.4064283944942333],[0.24074074074074073],[1.392745347583995],[0.22058823529411764],[],[],0.0,0.0,0.0,False,0.24074074074074073,1.4064283944942333,0.22058823529411764,1.392745347583995,,,
2,256,"[54, 108, 216]",2,"[0.1, 0.4]","[100, 100, 98, 97, 96, 94, 91, 90, 88, 87, 85, 84, 82, 79, 79, 79, 77, 72, 72, 71, 68, 67, 64, 64, 62, 58, 57, 55, 52, 49, 40, 34, 34, 31, 30, 29, 28, 24, 21, 19, 19, 18, 10, 8, 8, 6, 6, 6, 3]",pyramid,49,<class 'torch.nn.modules.activation.GELU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.028043801411404782,0.01,,256,False,xavier_normal,step,"{'step_size': 20, 'gamma': 0.1}",26,"[1.4092167615890503, 34.29143142700195]","[0.2777777777777778, 0.24074074074074073]","[1.3856562376022339, 1.4488179683685303]","[0.33088235294117646, 0.22058823529411764]",[],[],0.0,0.0,0.0,False,0.24074074074074073,34.29143142700195,0.22058823529411764,1.4488179683685303,,,
11,64,"[54, 108, 216]",2,"[0.1, 0.4]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",constant,13,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.00017764530198530006,0.0001,0.99,64,True,xavier_uniform,cosine,{'T_max': 50},143,"[12.810236930847168, 10.880667050679525]","[0.2777777777777778, 0.32407407407407407]","[10.051791527692009, 7.971713234396542]","[0.21323529411764705, 0.21323529411764705]",[],[],0.0,0.0,0.0,False,0.32407407407407407,10.880667050679525,0.21323529411764705,7.971713234396542,,,
12,512,"[54, 108, 216]",2,"[0.1, 0.4]","[98, 97, 74, 60, 51, 48, 45, 34, 31, 23, 22, 22, 22, 20, 20, 13, 4, 4, 13, 20, 20, 22, 22, 22, 23, 31, 34, 45, 48, 51, 60, 74, 97, 98]",hourglass,33,<class 'torch.nn.modules.activation.Tanh'>,0.0,<class 'torch.optim.adamw.AdamW'>,0.00139623641326732,0.0,,512,False,xavier_uniform,cosine,{'T_max': 50},156,"[1.3888208866119385, 1.3925050497055054]","[0.25925925925925924, 0.23148148148148148]","[1.3932139873504639, 1.3838599920272827]","[0.22058823529411764, 0.23529411764705882]",[],[],0.0,0.0,0.0,False,0.23148148148148148,1.3925050497055054,0.23529411764705882,1.3838599920272827,,,
13,128,"[54, 108, 216]",2,"[0.1, 0.4]","[99, 92, 80, 75, 74, 71, 70, 68, 63, 63, 47, 37, 29, 19, 18, 12, 8, 3]",triangular,18,<class 'torch.nn.modules.activation.LeakyReLU'>,0.3,<class 'torch.optim.sgd.SGD'>,0.00013837303496234572,0.001,0.9,128,False,xavier_uniform,none,{},169,"[1.4752607345581055, 1.4373259544372559]","[0.25925925925925924, 0.26851851851851855]","[1.5072246860055363, 1.5071908656288595]","[0.23529411764705882, 0.23529411764705882]",[],[],0.0,0.0,0.0,False,0.26851851851851855,1.4373259544372559,0.23529411764705882,1.5071908656288595,,,
14,512,"[54, 108, 216]",2,"[0.1, 0.4]","[6, 7, 12, 14, 14, 15, 22, 23, 30, 32, 32, 37, 38, 39, 43, 47, 50, 62, 67, 73, 76, 83, 87, 91, 91, 94, 95, 96, 96, 100]",inv_pyramid,30,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.adam.Adam'>,0.018888674634200506,1e-06,,512,False,xavier_normal,cosine,{'T_max': 100},182,"[1.3840363025665283, 1.4437766075134277]","[0.24074074074074073, 0.2222222222222222]","[1.3863831758499146, 1.3885639905929565]","[0.23529411764705882, 0.21323529411764705]",[],[],0.0,0.0,0.0,False,0.2222222222222222,1.4437766075134277,0.21323529411764705,1.3885639905929565,,,
15,32,"[54, 108, 216]",2,"[0.1, 0.4]","[95, 94, 89, 85, 85, 82, 75, 73, 68, 58, 53, 46, 43, 41, 33, 29, 28, 28, 13, 11, 8, 11, 13, 28, 28, 29, 33, 41, 43, 46, 53, 58, 68, 73, 75, 82, 85, 85, 89, 94, 95]",hourglass,40,<class 'torch.nn.modules.activation.GELU'>,0.1,<class 'torch.optim.adam.Adam'>,0.0005102482324577399,0.0,,32,True,xavier_uniform,exponential,{'gamma': 0.99},195,"[1.3857889749385692, 1.3860413586651836]","[0.2777777777777778, 0.25]","[1.3867766226039213, 1.3874613186892342]","[0.21323529411764705, 0.21323529411764705]",[],[],0.0,0.0,0.0,False,0.25,1.3860413586651836,0.21323529411764705,1.3874613186892342,,,
16,512,"[54, 108, 216]",2,"[0.1, 0.4]","[97, 90, 88, 83, 82, 76, 75, 75, 61, 61, 56, 47, 41, 35, 35, 32, 25, 20, 10]",triangular,19,<class 'torch.nn.modules.activation.ELU'>,0.1,<class 'torch.optim.adamw.AdamW'>,0.0008183373662470845,1e-05,,512,True,xavier_normal,exponential,{'gamma': 0.99},208,"[1.507930040359497, 1.4059827327728271]","[0.25925925925925924, 0.25]","[1.38653564453125, 1.3455122709274292]","[0.21323529411764705, 0.33088235294117646]",[],[],0.0,0.0,0.0,False,0.25,1.4059827327728271,0.33088235294117646,1.3455122709274292,,,
17,1024,"[54, 108, 216]",2,"[0.1, 0.4]","[100, 74, 73, 65, 60, 48, 38, 32, 14, 14, 32, 38, 48, 60, 65, 73, 74, 100]",hourglass,17,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.adam.Adam'>,0.00012720459990317508,1e-05,,1024,True,kaiming_uniform,exponential,{'gamma': 0.95},221,"[237.20614624023438, 285.96978759765625]","[0.25925925925925924, 0.2222222222222222]","[1.553617238998413, 1.5461111068725586]","[0.22058823529411764, 0.22058823529411764]",[],[],0.0,0.0,0.0,False,0.2222222222222222,285.96978759765625,0.22058823529411764,1.5461111068725586,,,
9,1024,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[94, 92, 86, 75, 74, 70, 61, 55, 54, 47, 45, 29, 24, 23, 19, 18, 7]",pyramid,17,<class 'torch.nn.modules.activation.Sigmoid'>,0.3,<class 'torch.optim.adam.Adam'>,0.00031051366205476355,0.0001,,1024,False,kaiming_normal,step,"{'step_size': 10, 'gamma': 0.9}",117,"[1.3779921531677246, 1.3970422744750977, 1.4261863231658936]","[0.2222222222222222, 0.25925925925925924, 0.20833333333333334]","[1.3745396137237549, 1.3745492696762085, 1.3745737075805664]","[0.33088235294117646, 0.33088235294117646, 0.33088235294117646]",[],[],0.33088235294117646,0.06338235294117647,0.0,False,0.20833333333333334,1.4261863231658936,0.33088235294117646,1.3745737075805664,0.0,0.0,0.0
21,64,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[84, 78, 33, 42, 96, 80, 77, 40, 19, 31, 13, 68, 27, 69]",irregular,14,<class 'torch.nn.modules.activation.ReLU'>,0.3,<class 'torch.optim.adamw.AdamW'>,0.030550003043937173,1e-05,,64,False,kaiming_uniform,exponential,{'gamma': 0.99},273,"[4.265697956085205, 4.143586132261488, 1.5028324833622686]","[0.24074074074074073, 0.21296296296296297, 0.25462962962962965]","[1.7021447209750904, 1.395610073033501, 1.3850403393016142]","[0.22058823529411764, 0.22058823529411764, 0.21323529411764705]",[],[],0.19719251336898394,0.0,0.0,False,0.25462962962962965,1.5028324833622686,0.21323529411764705,1.3850403393016142,-0.006684491978609626,1.2014609765474823e-05,-0.00735294117647059
19,32,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[4, 5, 9, 10, 14, 15, 19, 20, 24, 28, 29, 29, 37, 40, 40, 47, 48, 56, 57, 59, 63, 71, 71, 74, 81, 82, 83, 86, 93, 99, 100]",inv_pyramid,31,<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.rmsprop.RMSprop'>,0.0020854475845408305,0.0001,,32,True,kaiming_uniform,cosine,{'T_max': 10},247,"[4.053570517787227, 1.9571112526787653, 1.3941448662016127]","[0.2222222222222222, 0.24074074074074073, 0.25925925925925924]","[1.4011953999014461, 1.3762058790992289, 1.3869234393624699]","[0.23529411764705882, 0.33088235294117646, 0.23529411764705882]",[],[],0.23529411764705882,0.0,0.0,False,0.25925925925925924,1.3941448662016127,0.23529411764705882,1.3869234393624699,0.0,0.0020304690503652437,-0.04779411764705882
27,128,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[7, 14, 18, 18, 21, 23, 29, 30, 31, 32, 35, 37, 37, 37, 37, 38, 40, 43, 46, 47, 52, 54, 58, 58, 61, 62, 64, 66, 67, 73, 81, 82, 84, 87, 88, 90, 95, 96, 97, 97, 100]",triangular,41,<class 'torch.nn.modules.activation.ELU'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.010317716331352315,1e-06,,128,True,xavier_uniform,exponential,{'gamma': 0.99},351,"[1.6568049192428589, 16565.341796875, 15146.181671707718]","[0.18518518518518517, 0.1574074074074074, 0.2638888888888889]","[552.0206083409927, 1126.992733226103, 11.689673592062558]","[0.23529411764705882, 0.22058823529411764, 0.20588235294117646]",[],[],0.14171122994652402,0.0,0.0,False,0.2638888888888889,15146.181671707718,0.20588235294117646,11.689673592062558,-0.026737967914438505,0.00014417531718569787,-0.02205882352941177
28,1024,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[66, 66]",constant,2,<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.0010080625662498132,1e-06,0.9,1024,True,xavier_uniform,cosine,{'T_max': 10},364,"[1.4628123044967651, 1.4381413459777832, 1.448603630065918]","[0.2777777777777778, 0.2777777777777778, 0.2638888888888889]","[1.4570125341415405, 1.456162929534912, 1.454909324645996]","[0.23529411764705882, 0.23529411764705882, 0.23529411764705882]",[],[],0.23529411764705882,0.0,0.0,False,0.2638888888888889,1.448603630065918,0.23529411764705882,1.454909324645996,0.0,7.703719777548943e-34,0.0
