data_id,naml_best_validation_metric,naml_test_accuracy,ebe_decision,ebe_val_acc,ebe_test_acc,ebe_surpassed_val_baseline,ebe_surpassed_test_baseline,ebe_time_used_s
3,0.9941,0.9969,False,0.0,0.0,False,False,60.2163
12,0.985,0.9725,False,0.0,0.0,False,False,60.2475
23,0.5619,0.5153,True,0.5381,0.4915,False,False,4.5901
31,0.7575,0.73,True,0.7,0.7,False,False,4.3
54,0.8515,0.8412,True,0.8676,0.7765,True,False,7.7654
181,0.605,0.6364,True,0.395,0.3872,False,False,4.6418
188,0.6661,0.6622,True,0.7203,0.7095,True,True,2.8477
1049,0.9179,0.8836,False,0.0,0.0,False,False,60.2512
1067,0.887,0.8412,True,0.8462,0.846,False,True,11.2925
1111,0.9822,0.9822,False,0.0,0.0,False,False,60.7506
1169,0.6579,0.6607,False,0.0,0.0,False,False,60.8523
1461,0.9133,0.906,False,0.0,0.0,False,False,60.6415
1464,0.7817,0.7733,True,0.8083,0.8,True,True,0.5934
1468,0.9353,0.9398,False,0.0,0.0,False,False,60.2247
1475,0.6047,0.6258,True,0.427,0.4199,False,False,10.2301
1486,0.9699,0.9697,False,0.0,0.0,False,False,66.7707
1487,0.9491,0.931,True,0.936,0.9369,False,True,1.5728
1489,0.921,0.8918,False,0.0,0.0,False,False,60.4515
1494,0.8911,0.872,True,0.8402,0.8626,False,False,9.8629
1590,0.8734,0.8774,False,0.0,0.0,False,False,61.6013
1596,0.9507,0.9551,False,0.0,0.0,False,False,219.8112
4134,0.7939,0.8362,True,0.8067,0.7816,True,False,13.0471
4135,0.9502,0.9469,False,0.0,0.0,False,False,64.5676
4534,0.9755,0.9724,False,0.0,0.0,False,False,60.2637
4538,0.6709,0.6911,True,0.5228,0.5129,False,False,23.7587
4541,0.6131,0.6152,True,0.5929,0.5895,False,False,79.4134
23512,0.7197,0.726,True,0.7103,0.7065,False,False,76.9932
23517,0.5233,0.5205,True,0.521,0.5183,False,False,77.1183
40498,0.6718,0.6827,True,0.5102,0.5061,False,False,7.3815
40668,0.8272,0.826,True,0.6582,0.6583,False,False,100.2865
40670,0.9582,0.9483,False,0.0,0.0,False,False,60.7534
40685,0.9998,0.9995,False,0.0,0.0,False,False,67.2639
40701,0.9604,0.963,False,0.0,0.0,False,False,60.26
40900,0.9967,0.9922,False,0.0,0.0,False,False,61.4909
40975,0.9949,0.9971,False,0.0,0.0,False,False,60.1111
40978,0.979,0.9802,False,0.0,0.0,False,False,60.8696
40981,0.9081,0.8043,False,0.0,0.0,False,False,60.2086
40982,0.7878,0.7738,True,0.7203,0.6864,False,False,5.8615
40983,0.9819,0.9845,False,0.0,0.0,False,False,60.6362
40984,0.9395,0.9481,False,0.0,0.0,False,False,60.2072
40996,0.8971,0.9024,False,0.0,0.0,False,False,189.2626
41027,0.9007,0.8964,False,0.0,0.0,False,False,62.1052
41138,0.9938,0.9934,False,0.0,0.0,False,False,72.5985
41142,0.7489,0.7565,True,0.7405,0.7315,False,False,9.4156
41143,0.8187,0.8291,True,0.8033,0.7923,False,False,7.5321
41144,0.833,0.8551,True,0.6461,0.6338,False,False,13.5893
41145,0.7596,0.7686,True,0.7245,0.6907,False,False,42.7297
41146,0.9524,0.9424,False,0.0,0.0,False,False,62.9017
41147,0.6868,0.6853,False,0.0,0.0,False,False,82.5949
41150,0.9424,0.9424,False,0.0,0.0,False,False,115.8418
41156,0.8444,0.8554,True,0.8193,0.841,False,False,28.082
41157,0.8,0.8,True,0.75,0.7,False,False,5.2458
41158,0.9525,0.9398,False,0.0,0.0,False,False,60.2701
41159,0.8228,0.832,False,0.0,0.0,False,False,75.8661
41161,0.9969,0.9972,False,0.0,0.0,False,False,83.8687
41162,0.8879,0.8858,False,0.0,0.0,False,False,71.6842
41163,0.9842,0.986,False,0.0,0.0,False,False,130.3984
41164,0.7183,0.713,True,0.6502,0.6371,False,False,61.6689
41165,0.5092,0.532,False,0.0,0.0,False,False,1040.7608
41166,0.6788,0.6911,False,0.0,0.0,False,False,71.047
41167,0.6986,0.5241,False,0.0,0.0,False,False,1166.6693
41168,0.7105,0.7195,True,0.6973,0.6988,False,False,98.7954
41169,0.3751,0.3723,True,0.0614,0.0614,False,False,101.8015
42732,0.8784,0.8784,False,0.0,0.0,False,False,188.0939
42733,0.836,0.8358,True,0.8317,0.8315,False,False,74.7017
42734,0.75,0.7491,False,0.0,0.0,False,False,61.7733
42742,0.9636,0.9636,False,0.0,0.0,False,False,85.08
42746,1.0,1.0,False,0.0,0.0,False,False,982.9246
42769,0.7344,0.7355,False,0.0,0.0,False,False,233.6251
