,pipeline,accuracy
43,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=7, min_samples_leaf=2,
                                        min_samples_split=10, n_estimators=512,
                                        warm_start=True))])",0.7787
41,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=19, min_samples_leaf=3,
                                        min_samples_split=11, n_estimators=512,
                                        warm_start=True))])",0.7775
69,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=13, n_estimators=512,
                                        warm_start=True))])",0.7775
1,"Pipeline(steps=[('learner', RandomForestClassifier())])",0.7762
98,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=17, min_samples_leaf=5,
                                        min_samples_split=7, n_estimators=512,
                                        warm_start=True))])",0.7737
107,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=8, min_samples_leaf=2,
                                        min_samples_split=6, n_estimators=512,
                                        warm_start=True))])",0.7725
90,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=7, min_samples_leaf=2,
                                        min_samples_split=11, n_estimators=512,
                                        warm_start=True))])",0.7688
22,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner', RandomForestClassifier())])",0.7675
102,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('gini'),
                                        max_features=9, min_samples_leaf=7,
                                        min_samples_split=8, n_estimators=512,
                                        warm_start=True))])",0.7675
129,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('gini'),
                                        max_features=11, min_samples_leaf=4,
                                        min_samples_split=14, n_estimators=512,
                                        warm_start=True))])",0.7663
116,"Pipeline(steps=[('learner',
                 RandomForestClassifier(criterion=np.str_('entropy'),
                                        max_features=13, min_samples_leaf=9,
                                        min_samples_split=18, n_estimators=512,
                                        warm_start=True))])",0.7662
68,"Pipeline(steps=[('learner',
                 RandomForestClassifier(bootstrap=False,
                                        criterion=np.str_('entropy'),
                                        max_features=12, min_samples_leaf=2,
                                        min_samples_split=9, n_estimators=512,
                                        warm_start=True))])",0.7662
0,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",0.765
